 table_name   |        column_name         |          data_type          
--------------+----------------------------+-----------------------------
 participants | experiment_start_time      | timestamp without time zone
 participants | participant_id             | serial PRIMARY KEY
 participants | group_name                 | text
 participants | censored_information       | character varying
 participants | feedback                   | character varying
 participants | censorship_group           | character varying
 participants | condition                  | character varying
 participants | gender                     | text
 participants | age                        | integer

 trials       | trial_number               | integer
 trials       | participant_id             | integer FOREIGN KEY -> participants(participant_id)
 trials       | start_time                 | timestamp without time zone
 trials       | end_time                   | timestamp without time zone
 trials       | trial_type                 | character varying
 trials       | video_url                  | text
 trials       | trial_id                   | serial PRIMARY KEY

 packets      | packet_id                  | serial PRIMARY KEY
 packets      | trial_id                   | integer FOREIGN KEY -> trials(trial_id)
 packets      | accepted                   | boolean
 packets      | classified_time            | timestamp without time zone
 packets      | user_input                 | character varying
 packets      | advisor_recommendation     | character varying

 scales       | scale_id                   | serial PRIMARY KEY
 scales       | participant_id             | integer FOREIGN KEY -> participants(participant_id)
 scales       | scale_type                 | character varying
 scales       | scale_phase                | character varying

 items        | item_id                    | integer // this is the item number for the scale
 items        | scale_id                   | integer FOREIGN KEY -> scales(scale_id)
 items        | item_value                 | integer

 gaze_data    | id                         | serial PRIMARY KEY
 gaze_data    | trial_id                   | integer FOREIGN KEY -> trials(trial_id)
 gaze_data    | x                          | float
 gaze_data    | y                          | float
 gaze_data    | elapsed_time               | integer


